source_title,source_journal,citing_title,citing_pmid,pmcid,ref_ids,citation_sentence,vader_score,textblob_score,custom_score,pos_ratio,neg_ratio
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,"While tremor is considered a cardinal motor sign in patients with Parkinson's disease (PD), little is known about the evolution of the different types of PD tremor over time.",0.5,0.453125,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,Our objectives were to assess the rate of progression of the various types of PD tremor over the disease course and to verify if the presence of different tremors is consistently associated with specific motor and non-motor burdens over time.,0.3194,0.53125,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,"Finally, we investigated whether the presence of different tremors can predict specific trajectories of disease progression.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,One hundred PD patients were enrolled and 73 completed a 4-year follow up.,0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,Clinical evaluations included the administration of standardized PD scales to assess the severity of motor and non-motor manifestations.,0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,"The occurrence and severity of rest, re-emergent, and action tremors were accurately evaluated at baseline and 4 years later.",0.5,0.5833333333333334,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,Adjusted linear regression models were used to assess tremor type's influence on disease progression.,0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,"Tremor occurrence and severity decreased during PD progression, with a more significant reduction in action tremor compared to rest and re-emergent tremor.",0.6358,0.571875,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,Patients with rest and re-emergent tremor had milder motor symptoms at baseline and milder motor and non-motor manifestations at follow-up.,0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,The presence of rest and re-emergent tremor predicted a lower progression of non-motor symptoms.,0.352,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The evolution of tremor in Parkinson's Disease: insights from a 4-year longitudinal assessment.,40696042,1736624,,"This longitudinal study revealed that the various types of PD tremor have different evolutions over disease course, can predict distinct trajectories of disease progression and are underpinned by distinct pathophysiological mechanisms.",0.5,0.575,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Passive Monitoring of Parkinson Tremor in Daily Life: A Prototypical Network Approach.,39860736,PMC11768787,B11-sensors-25-00366,"In PD, rest tremor is the most prevalent subtype, although some patients may also experience re-emergent tremor, i.e., a postural tremor with the same frequency as rest tremor, pure postural tremor, or action tremor [ [CIT] ,12].",0.5,0.6017857142857143,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Passive Monitoring of Parkinson Tremor in Daily Life: A Prototypical Network Approach.,39860736,PMC11768787,B11-sensors-25-00366,"We envision that the current selection could be further extended to also incorporate examples of different tremor sub-types, i.e., rest, re-emergent rest, action, or pure postural tremor [ [CIT] ,12].",0.5,0.5314285714285715,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Simple biomarkers to distinguish Parkinson's disease from its mimics in clinical practice: a comprehensive review and future directions.,39364423,PMC11446779,ref78,"The movement initiation typically suppresses rest tremor, but it can re-emerge when a posture is sustained (re-emergent tremor) (57, [CIT] , 79).",0.5,0.4166666666666667,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Serotonin syndrome caused by escitalopram in Parkinson's disease psychosis: a case report.,39294572,PMC11409801,CR13,"With a new posture, re-emergent tremor reappears after a few seconds, while other tremors appears immediately [ [CIT] ]",0.5,0.46856060606060607,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The digital signature of emergent tremor in Parkinson's disease.,39112485,PMC11306561,CR2,Rest tremor is usually suppressed with the onset of action but can emerge during sustained movement (such as walking) and when a posture of the hand or limb is sustained [CIT] –7.,0.8243,0.475,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The digital signature of emergent tremor in Parkinson's disease.,39112485,PMC11306561,CR2,"However, it is well known that emergent (rest) tremor may occur after the limbs have been held in a position of posture and/or when walking [CIT] –7.",0.6366,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Bedside clinical assessment of patients with common upper limb tremor and algorithmic approach.,38708334,PMC11063083,j_abm-2024-0008_ref_026,"Suppression of rest tremor at the onset of voluntary movement and the re-emergence of tremor should be looked for during changing positions from rest to postural holding since these signs are suggestive of PD tremor [ [CIT] , 27].",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Bedside clinical assessment of patients with common upper limb tremor and algorithmic approach.,38708334,PMC11063083,j_abm-2024-0008_ref_026,"Postural tremor in PD can be categorized into: (1) re-emergent tremor characterized as a rest tremor that re-emerges after a variable delay while maintaining posture with a frequency similar to the rest tremor [ [CIT] , 65] and (2) pure postural tremor referring to a postural tremor that presents immediately with postural holding and a tremor frequency higher compared to the rest tremor when it is present [66].",0.3409,0.4714285714285714,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Toward interpretable digital biomarkers of walking and reaching in Parkinson's disease.,38486899,PMC10936352,r14,"This tremor of the body motion is known to exist in the 4–6 Hz range (Deuschl et al., 1998; Jankovic et al., [CIT] ; Lee et al., 2016).",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"Tremors are involuntary rhythmic movements commonly present in neurological diseases such as Parkinson's disease, essential tremor, and multiple sclerosis.",0.5,0.5,0.5,0.0,0.0
